n_jobs,r_min,r_max,p_min,p_max,tightness,BB_tardy,BB_time,AMPL_tardy,AMPL_time,RELAX_tardy,RELAX_time,GAP_AMPL,GAP_RELAX
30,0,10,3,10,1.0,25,0.1076986789703369,24,1.5047760009765625,9.53745,0.0637533664703369,-4.0,-61.8502
50,0,10,3,10,1.0,45,1.2507448196411133,44,2.756998300552368,17.3831,0.161146879196167,-2.2222222222222223,-61.370888888888885
80,0,10,3,10,1.0,74,14.810774087905884,73,12.569392204284668,29.0722,0.379551887512207,-1.3513513513513513,-60.713243243243255
100,0,10,3,10,1.0,94,55.55521368980408,93,21.23339462280273,36.7088,1.395885705947876,-1.0638297872340425,-60.94808510638299
150,0,10,3,10,1.0,144,628.8642785549164,143,95.17970848083496,57.4058,1.7561068534851074,-0.6944444444444444,-60.134861111111114
30,0,10,3,10,1.0,25,0.0926368236541748,24,0.5569336414337158,9.53745,0.0693826675415039
